"","format(time, ""%Y-%m"")","energy_type","sum_energy"
"402","2016-08","generation.fossil.coal.derived.gas",0
"403","2016-08","generation.fossil.gas",3623271
"404","2016-08","generation.fossil.hard.coal",3104341
"405","2016-08","generation.fossil.oil",210780
"406","2016-08","generation.fossil.oil.shale",0
"407","2016-08","generation.fossil.peat",0
"408","2016-08","generation.geothermal",0
"409","2016-08","generation.hydro.pumped.storage.aggregated",0
"410","2016-08","generation.hydro.pumped.storage.consumption",254554
"411","2016-08","generation.hydro.run.of.river.and.poundage",622691
"412","2016-08","generation.hydro.water.reservoir",1830255
"413","2016-08","generation.marine",0
"414","2016-08","generation.nuclear",4935212
"415","2016-08","generation.other",42319
"416","2016-08","generation.other.renewable",58352
"417","2016-08","generation.solar",1365874
"418","2016-08","generation.waste",211221
"419","2016-08","generation.wind.offshore",0
"420","2016-08","generation.wind.onshore",3796776
"421","2016-09","generation.biomass",503124
"422","2016-09","generation.fossil.brown.coal.lignite",341079
"423","2016-09","generation.fossil.coal.derived.gas",0
"424","2016-09","generation.fossil.gas",3343356
"425","2016-09","generation.fossil.hard.coal",3029770
"426","2016-09","generation.fossil.oil",202598
"427","2016-09","generation.fossil.oil.shale",0
"428","2016-09","generation.fossil.peat",0
"429","2016-09","generation.geothermal",0
"430","2016-09","generation.hydro.pumped.storage.aggregated",0
"431","2016-09","generation.hydro.pumped.storage.consumption",272305
"432","2016-09","generation.hydro.run.of.river.and.poundage",537489
"433","2016-09","generation.hydro.water.reservoir",1658492
"434","2016-09","generation.marine",0
"435","2016-09","generation.nuclear",4806544
"436","2016-09","generation.other",41228
"437","2016-09","generation.other.renewable",60330
"438","2016-09","generation.solar",1114714
"439","2016-09","generation.waste",208410
"440","2016-09","generation.wind.offshore",0
"441","2016-09","generation.wind.onshore",3948981
"442","2016-10","generation.biomass",500966
"443","2016-10","generation.fossil.brown.coal.lignite",457258
"444","2016-10","generation.fossil.coal.derived.gas",0
"445","2016-10","generation.fossil.gas",4636001
"446","2016-10","generation.fossil.hard.coal",3181925
"447","2016-10","generation.fossil.oil",206362
"448","2016-10","generation.fossil.oil.shale",0
"449","2016-10","generation.fossil.peat",0
"450","2016-10","generation.geothermal",0
"451","2016-10","generation.hydro.pumped.storage.aggregated",0
"452","2016-10","generation.hydro.pumped.storage.consumption",388486
"453","2016-10","generation.hydro.run.of.river.and.poundage",503433
"454","2016-10","generation.hydro.water.reservoir",1862865
"455","2016-10","generation.marine",0
"456","2016-10","generation.nuclear",4899631
"457","2016-10","generation.other",43347
"458","2016-10","generation.other.renewable",62417
"459","2016-10","generation.solar",754896
"460","2016-10","generation.waste",207495
"461","2016-10","generation.wind.offshore",0
"462","2016-10","generation.wind.onshore",3567752
"463","2016-11","generation.biomass",511314
"464","2016-11","generation.fossil.brown.coal.lignite",467673
"465","2016-11","generation.fossil.coal.derived.gas",0
"466","2016-11","generation.fossil.gas",4636091
"467","2016-11","generation.fossil.hard.coal",3298775
"468","2016-11","generation.fossil.oil",195530
"469","2016-11","generation.fossil.oil.shale",0
"470","2016-11","generation.fossil.peat",0
"471","2016-11","generation.geothermal",0
"472","2016-11","generation.hydro.pumped.storage.aggregated",0
"473","2016-11","generation.hydro.pumped.storage.consumption",380089
"474","2016-11","generation.hydro.run.of.river.and.poundage",648200
"475","2016-11","generation.hydro.water.reservoir",1800934
"476","2016-11","generation.marine",0
"477","2016-11","generation.nuclear",3984694
"478","2016-11","generation.other",42463
"479","2016-11","generation.other.renewable",61889
"480","2016-11","generation.solar",684995
"481","2016-11","generation.waste",197047
"482","2016-11","generation.wind.offshore",0
"483","2016-11","generation.wind.onshore",4151804
"484","2016-12","generation.biomass",504100
"485","2016-12","generation.fossil.brown.coal.lignite",499072
"486","2016-12","generation.fossil.coal.derived.gas",0
"487","2016-12","generation.fossil.gas",4595075
"488","2016-12","generation.fossil.hard.coal",3708316
"489","2016-12","generation.fossil.oil",205820
"490","2016-12","generation.fossil.oil.shale",0
"491","2016-12","generation.fossil.peat",0
"492","2016-12","generation.geothermal",0
"493","2016-12","generation.hydro.pumped.storage.aggregated",0
"494","2016-12","generation.hydro.pumped.storage.consumption",356991
"495","2016-12","generation.hydro.run.of.river.and.poundage",578131
"496","2016-12","generation.hydro.water.reservoir",2087141
"497","2016-12","generation.marine",0
"498","2016-12","generation.nuclear",4706522
"499","2016-12","generation.other",43802
"500","2016-12","generation.other.renewable",67027
"501","2016-12","generation.solar",680742
"502","2016-12","generation.waste",202681
"503","2016-12","generation.wind.offshore",0
"504","2016-12","generation.wind.onshore",3362706
"505","2017-01","generation.biomass",516758
"506","2017-01","generation.fossil.brown.coal.lignite",512352
"507","2017-01","generation.fossil.coal.derived.gas",0
"508","2017-01","generation.fossil.gas",4770968
"509","2017-01","generation.fossil.hard.coal",4117134
"510","2017-01","generation.fossil.oil",207965
"511","2017-01","generation.fossil.oil.shale",0
"512","2017-01","generation.fossil.peat",0
"513","2017-01","generation.geothermal",0
"514","2017-01","generation.hydro.pumped.storage.aggregated",0
"515","2017-01","generation.hydro.pumped.storage.consumption",462927
"516","2017-01","generation.hydro.run.of.river.and.poundage",526553
"517","2017-01","generation.hydro.water.reservoir",1604772
"518","2017-01","generation.marine",0
"519","2017-01","generation.nuclear",5036818
"520","2017-01","generation.other",40383
"521","2017-01","generation.other.renewable",73808
"522","2017-01","generation.solar",809783
"523","2017-01","generation.waste",222837
"524","2017-01","generation.wind.offshore",0
"525","2017-01","generation.wind.onshore",4823574
"526","2017-02","generation.biomass",472234
"527","2017-02","generation.fossil.brown.coal.lignite",405495
"528","2017-02","generation.fossil.coal.derived.gas",0
"529","2017-02","generation.fossil.gas",3737089
"530","2017-02","generation.fossil.hard.coal",2945062
"531","2017-02","generation.fossil.oil",195822
"532","2017-02","generation.fossil.oil.shale",0
"533","2017-02","generation.fossil.peat",0
"534","2017-02","generation.geothermal",0
"535","2017-02","generation.hydro.pumped.storage.aggregated",0
"536","2017-02","generation.hydro.pumped.storage.consumption",308978
"537","2017-02","generation.hydro.run.of.river.and.poundage",671967
"538","2017-02","generation.hydro.water.reservoir",1259899
"539","2017-02","generation.marine",0
"540","2017-02","generation.nuclear",4528788
"541","2017-02","generation.other",38038
"542","2017-02","generation.other.renewable",63779
"543","2017-02","generation.solar",777814
"544","2017-02","generation.waste",195590
"545","2017-02","generation.wind.offshore",0
"546","2017-02","generation.wind.onshore",3582394
"547","2017-03","generation.biomass",422622
"548","2017-03","generation.fossil.brown.coal.lignite",249401
"549","2017-03","generation.fossil.coal.derived.gas",0
"550","2017-03","generation.fossil.gas",3965702
"551","2017-03","generation.fossil.hard.coal",2205112
"552","2017-03","generation.fossil.oil",224763
"553","2017-03","generation.fossil.oil.shale",0
"554","2017-03","generation.fossil.peat",0
